Orgao Responsável,Título,Link,Tipo,Data de Publicação,Resultado
DIRETORIA DE PESQUISA/PROPP/UFU,"Convocação de Pesquisas de Iniciação Científica, Tecnológica e do Ensino Médio para apresentação de Resultados no I Seminário de Pesquisa da Universidade Federal de Uberlândia",http://www.editais.ufu.br/node/5399,Inic. Científica,23/09/2021,Não Publ.
PIBIC/FAPEMIG/UFU,CONVOCAÇÃO DE PROJETOS DE PESQUISA PARA BOLSAS DE INICIAÇÃO CIENTÍFICA PIBIC/FAPEMIG/UFU,http://www.editais.ufu.br/node/5391,Inic. Científica,22/09/2021,Não Publ.
PROFLETRAS,EDITAL Nº 002/2021 - PROFLETRAS,http://www.editais.ufu.br/node/5392,Mest./Dout./Especializ.,22/09/2021,Não Publ.
PPCSA/FAMED/UFU,Edital de abertura das inscrições e do processo de seleção extraordinário de alunos TURMA 2021/2 para ingresso no Programa de Pós-Graduação em Ciências da Saúde (PPCSA),http://www.editais.ufu.br/node/5382,Mest./Dout./Especializ.,16/09/2021,Não Publ.
COCEB,PROCESSO CLASSIFICATÓRIO PARA ESTÁGIO OBRIGATÓRIO EM ENGENHARIA BIOMÉDICA NO HC-UFU 2021/2,http://www.editais.ufu.br/node/5377,Estágio UFU,13/09/2021,Não Publ.
IBTEC,Seleção de Programa de Pós-graduação - Edital PPGBIOTEC/IBTEC/UFU Nº 01/2021,http://www.editais.ufu.br/node/5363,Mest./Dout./Especializ.,02/09/2021,Não Publ.
PET ENGENHARIA ELETRÔNICA E DE TELECOMUNICAÇÕES,Edital Nº02/2021 - EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET ENGENHARIA ELETRÔNICA E DE TELECOMUNICAÇÕES,http://www.editais.ufu.br/node/5333,Programa PET,18/08/2021,Não Publ.
CDL - Vagas de Estágio,Oportunidade de Vaga de Estágio,http://www.editais.ufu.br/node/5278,Estágio UFU,21/07/2021,Não Publ.
DEPAE,Seleção de Monitores para Desenvolvimento de Ações Educativas de Apoio e Suporte aos Estudantes com Deficiência do Campus Pontal,http://www.editais.ufu.br/node/5282,Estágio UFU,21/07/2021,Não Publ.
DEPAE,Edital de Seleção de Monitores para Desenvolvimento de Ações Educativas de Apoio e Suporte aos Estudantes com Deficiência,http://www.editais.ufu.br/node/5270,Estágio UFU,14/07/2021,Não Publ.
PROGRAD/DIREN/DLICE/PIBID/UBERLÂNDIA /ITUIUTABA,SELEÇÃO DE ALUNOS PARA O PROGRAMA INSTITUCIONAL DE BOLSA DE INICIAÇÃO À DOCÊNCIA/UFU – CAMPI UBERLÂNDIA E ITUIUTABA.,http://www.editais.ufu.br/node/5264,Estágio UFU,08/07/2021,Não Publ.
FAEPU,EDITAL 006.2021 – DIVISÃO FINANCEIRA – FAEPU,http://www.editais.ufu.br/node/5255,Estágio UFU,06/07/2021,Não Publ.
COMED/FAMED - UFU,Edital de Seleção para Estágio Eletivo Externo 2021 - Vagas Remanescentes - estudantes de outras IES,http://www.editais.ufu.br/node/5252,Estágio UFU,05/07/2021,Não Publ.
FAEPU - UFU,EDITAL 005.2021 – PROJETO RESILIENT EXTEND – HC-UFU,http://www.editais.ufu.br/node/5248,Estágio UFU,02/07/2021,Não Publ.
FAEPU - DICOL,EDITAL 007.2021 – DIVISÃO DE COMPRAS – FAEPU,http://www.editais.ufu.br/node/5249,Estágio UFU,02/07/2021,Não Publ.
FAEPU - UFU,EDITAL 008.2021 – DIVISÃO DE PESSOAL – FAEPU,http://www.editais.ufu.br/node/5250,Estágio UFU,02/07/2021,Não Publ.
PET Engenharia Ambiental e Sanitária,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET ENGENHARIA AMBIENTAL E SANITÁRIA,http://www.editais.ufu.br/node/5216,Programa PET,14/06/2021,Não Publ.
DIRSU,"PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) DO CURSO DE LICENCIATURA EM QUÍMICA, (IQ), QUÍMICA INDUSTRIAL (IQ), ENGENHARIA QUÍMICA (FEQ), ENGENHARIA AMBIENTAL (ICIAG)",http://www.editais.ufu.br/node/5207,Estágio UFU,07/06/2021,Não Publ.
FAEPU,DIVISÃO DE COMPRAS - FAEPU,http://www.editais.ufu.br/node/5208,Estágio UFU,07/06/2021,Não Publ.
DIVRH/FAEPU,DIVISÃO DE RECURSOS HUMANOS - FAEPU,http://www.editais.ufu.br/node/5209,Estágio UFU,07/06/2021,Não Publ.
DIVRH/FAEPU,GERENCIA ADMINISTRATIVA - HC (Suspensão do edital),http://www.editais.ufu.br/node/5210,Estágio UFU,07/06/2021,Não Publ.
DIVRH/FAEPU,DIVISÃO DE PESSOAL - FAEPU,http://www.editais.ufu.br/node/5211,Estágio UFU,07/06/2021,Não Publ.
PROGRAD/DIREN/DLICE/RP/UBERLÂNDIA,EDITAL N° 15/2021 - PROGRAD/DIREN/DLICE/RP/UBERLÂNDIA - SELEÇÃO DE PROFESSOR PRECEPTOR PARA COMPLEMENTAÇÃO DE VAGAS DE ESCOLA PÚBLICA PARTICIPANTE DO PROGRAMA RESIDÊNCIA PEDAGÓGICA,http://www.editais.ufu.br/node/5201,Estágio UFU,28/05/2021,Não Publ.
DIRIARTE,EDITAL DIRIARTE Nº 4/2021 - Processo Seletivo Simplificado para contratação de estagiários(as),http://www.editais.ufu.br/node/5198,Estágio UFU,24/05/2021,Não Publ.
DIRPO,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) DO CURSO DE ARQUITETURA E URBANISMO,http://www.editais.ufu.br/node/5194,Estágio UFU,17/05/2021,Não Publ.
PROGRAD/DIREN/DLICE/RP/UBERLÂNDIA,SELEÇÃO DE ALUNOS INTERESSADOS COMPLEMENTAÇÃO DE VAGAS NA RP/UFU CAMPI DE UBERLÂNDIA,http://www.editais.ufu.br/node/5190,Estágio UFU,12/05/2021,Não Publ.
PROGRAD/DIREN/DLICE/PIBID/UBERLÂNDIA /ITUIUTABA,SELEÇÃO DE ALUNOS PARA O PROGRAMA INSTITUCIONAL DE BOLSA DE INICIAÇÃO À DOCÊNCIA/UFU – CAMPI UBERLÂNDIA E ITUIUTABA.,http://www.editais.ufu.br/node/5188,Estágio UFU,10/05/2021,Não Publ.
DIRESEBA,Seleção de candidatos para Estágio na Escola de Educação Básica da Universidade Federal de Uberlândia (ESEBA/UFU),http://www.editais.ufu.br/node/5186,Estágio UFU,07/05/2021,Não Publ.
PROGRAD/DIREN/DLICE/RP/ITUIUTABA,SELEÇÃO DE ALUNOS INTERESSADOS PARA COMPLEMENTAÇÃO DE VAGAS NA RP/UFU CAMPI DE ITUIUTABA,http://www.editais.ufu.br/node/5179,Estágio UFU,04/05/2021,Não Publ.
PROGRAD/DIREN/DLICE/PIBID/UBERLÂNDIA,SELEÇÃO DE ALUNOS PARA O PROGRAMA INSTITUCIONAL DE BOLSA DE INICIAÇÃO À DOCÊNCIA/UFU – CAMPI UBERLÂNDIA E ITUIUTABA.,http://www.editais.ufu.br/node/5181,Estágio UFU,04/05/2021,Não Publ.
PPGGB/IBTEC/UFU,Edital de abertura das inscrições e do processo de seleção 2021 para ingresso ao Programa de Pós-graduação em Genética e Bioquímica,http://www.editais.ufu.br/node/5177,Mest./Dout./Especializ.,03/05/2021,Não Publ.
PROGRAD/DIREN/DLICE/RP/ITUIUTABA,SELEÇÃO DE ALUNOS INTERESSADOS PARA COMPLEMENTAÇÃO DE VAGAS NA RP/UFU CAMPI DE ITUIUTABA,http://www.editais.ufu.br/node/5172,Estágio UFU,29/04/2021,Não Publ.
PROGRAD/DIREN/DLICE/RP/UBERLÂNDIA,SELEÇÃO DE PROFESSOR PRECEPTOR PARA COMPLEMENTAÇÃO DE VAGAS DE ESCOLA PÚBLICA PARTICIPANTE DO PROGRAMA RESIDÊNCIA PEDAGÓGICA,http://www.editais.ufu.br/node/5173,Estágio UFU,29/04/2021,Não Publ.
PROGRAD/DIREN/DLICE/PIBID/UBERLÂNDIA,SELEÇÃO DE ALUNOS PARA O PROGRAMA INSTITUCIONAL DE BOLSA DE INICIAÇÃO À DOCÊNCIA/UFU – CAMPI UBERLÂNDIA E ITUIUTABA.,http://www.editais.ufu.br/node/5156,Estágio UFU,16/04/2021,Não Publ.
PROGRAD/DIREN/DLICE/RP/ITUIUTABA,SELEÇÃO DE ALUNOS INTERESSADOS PARA COMPLEMENTAÇÃO DE VAGAS NA RP/UFU CAMPI DE ITUIUTABA,http://www.editais.ufu.br/node/5158,Estágio UFU,16/04/2021,Não Publ.
PROGRAD/DIREN/DLICE/RP/UBERLÂNDIA,EDITAL N. 05/2021 PROGRAD/DIREN/DLICE/RP/UBERLÂNDIA - SELEÇÃO DE ALUNOS INTERESSADOS COMPLEMENTAÇÃO DE VAGAS NA RP/UFU CAMPI DE UBERLÂNDIA.,http://www.editais.ufu.br/node/5153,Estágio UFU,14/04/2021,Não Publ.
PROGRAD/DIREN/DLICE/RP/ITUIUTABA,EDITAL N. 06/2021 PROGRAD/DIREN/DLICE/RP/UBERLÂNDIA - SELEÇÃO DE ALUNOS INTERESSADOS PARA COMPLEMENTAÇÃO DE VAGAS NA RP/UFU CAMPI DE ITUIUTABA,http://www.editais.ufu.br/node/5154,Estágio UFU,14/04/2021,Não Publ.
PROGRAD/DIREN/DLICE/RP/UBERLÂNDIA,EDITAL N. 04/2021 PROGRAD/DIREN/DLICE/RP/UBERLÂNDIA SELEÇÃO DE ALUNOS INTERESSADOS COMPLEMENTAÇÃO DE VAGAS NA RP/UFU CAMPI DE UBERLÂNDIA.,http://www.editais.ufu.br/node/5132,Estágio UFU,23/03/2021,Não Publ.
PROGRAD/DIREN/DLICE/RP/ITUIUTABA,EDITAL N. 03/2021 PROGRAD/DIREN/DLICE/RP/ITUIUTABA SELEÇÃO DE ALUNOS INTERESSADOS PARA COMPLEMENTAÇÃO DE VAGAS NA RP/UFU CAMPI DE ITUIUTABA,http://www.editais.ufu.br/node/5134,Estágio UFU,23/03/2021,Não Publ.
FAGEN,Edital - Processo seletivo para contratação de estagiários (FAGEN),http://www.editais.ufu.br/node/5130,Estágio UFU,22/03/2021,Não Publ.
PROGRAD/DIREN/DLICE/PIBID/UBERLÂNDIA,EDITAL N. 04/2021 PROGRAD/DIREN/DLICE/PIBID/UBERLÂNDIA - SELEÇÃO DE ALUNOS PARA O PROGRAMA INSTITUCIONAL DE BOLSA DE INICIAÇÃO À DOCÊNCIA/UFU – CAMPI UBERLÂNDIA E ITUIUTABA,http://www.editais.ufu.br/node/5126,Estágio UFU,18/03/2021,Não Publ.
PET/ADM,EDITAL DE SELEÇÃO DE DISCENTES PARA INGRESSO NO PET ADM,http://www.editais.ufu.br/node/5120,Programa PET,15/03/2021,Não Publ.
DIRPE,Convocação de projetos de pesquisa para seleção de bolsas de Iniciação Científica do Ensino Médio PIBIC-EM/CNPQ/UFU,http://www.editais.ufu.br/node/5105,Inic. Científica,05/03/2021,Não Publ.
DIRPE,Convocação de projetos de pesquisa para seleção de bolsas de Iniciação Científica Tecnológica PIBITI/CNPQ/UFU,http://www.editais.ufu.br/node/5106,Inic. Científica,05/03/2021,Não Publ.
DIRPE,Convocação de projetos de pesquisa para seleção de bolsas de Iniciação Científica PIBIC/CNPQ/UFU,http://www.editais.ufu.br/node/5107,Inic. Científica,05/03/2021,Não Publ.
DIRPE,Convocação de projetos de pesquisa para seleção de bolsas de Iniciação Científica da Escola Técnica de Saúde ESTES/UFU,http://www.editais.ufu.br/node/5108,Inic. Científica,05/03/2021,Não Publ.
"Divisão de Ensino, Pesquisa, Extensão e Atendimento em Educação Especial - Campus Pontal",EDITAL DEPAE Nº 2/2021,http://www.editais.ufu.br/node/5109,Monitoria,05/03/2021,Não Publ.
